PubMed ID	URL	PDF	First Author	Authors	Year	Journal	Judgement	Outcome category	Outcome subcategory	Animal	Animal subtype	Animal age	Animal gender	Animal weight	Injury height	Injury type	Outcome name	Outcome further detail name	Outcome further detail value	Injury location	Injury device	Injury device detail	Treatment type	Treatment detail	Treatment application	Treatment  dosage	Injured treated	Injured control	Sham control	Trend	Timepoint	Animal weight, lightest (g)	Animal weight, heaviest (g)	BBB timepoint (days)	BBB value (Treated)	BBB value (Control)
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	38.2 [57.7]		No.5 Dumont forceps		Systemic	Lipopolysaccharide	Intraperitoneal	0.2 mg	4	6		Decrease	3 w	>=100, <200	>=200, <300		38,2	57,7
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	25.6 [57.7]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		Decrease	3 w	>=100, <200	>=200, <300		25,6	57,7
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	4.50 [2.25]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		Increase	3 w	>=100, <200	>=200, <300		4,5	2,25
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	35.7 [52.6]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	10	9		Decrease	3 w	>=100, <200	>=200, <300		35,7	52,6
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.12 [1.62]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		Decrease	3 w	>=100, <200	>=200, <300		1,12	1,62
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	29.8 [57.7]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	4	6		Decrease	3 w	>=100, <200	>=200, <300		29,8	57,7
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	3.50 [2.39]		No.5 Dumont forceps		Systemic	Acetylsalicylic acid	Subcutaneous	1.19 mg	10	9		Increase	3 w	>=100, <200	>=200, <300		3,5	2,39
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of ventral white matter spared tissue [_m]	214  [53]		No.5 Dumont forceps		Systemic	Acetylsalicylic acid	Subcutaneous	1.19 mg	10	9		Decrease	3 w	>=100, <200	>=200, <300		214	53
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	3.15 [2.39]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	10	9		Increase	3 w	>=100, <200	>=200, <300		3,15	2,39
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	54.6 [57.7]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	6	6		No change	3 w	>=100, <200	>=200, <300		54,6	57,7
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	64.0 [57.7]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		No change	3 w	>=100, <200	>=200, <300		64	57,7
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.84 [1.62]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	6	6		No change	3 w	>=100, <200	>=200, <300		1,84	1,62
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	3.29 [2.25]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		No change	3 w	>=100, <200	>=200, <300		3,29	2,25
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	2.92 [2.25]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	6	6		No change	3 w	>=100, <200	>=200, <300		2,92	2,25
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	3.20 [2.25]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	4	6		No change	3 w	>=100, <200	>=200, <300		3,2	2,25
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	2.58 [2.25]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		No change	3 w	>=100, <200	>=200, <300		2,58	2,25
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.64 [1.62]		No.5 Dumont forceps		Systemic	Lipopolysaccharide	Intraperitoneal	0.2 mg	4	6		No change	3 w	>=100, <200	>=200, <300		1,64	1,62
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.68 [1.62]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	6	6		No change	3 w	>=100, <200	>=200, <300		1,68	1,62
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of ventral white matter spared tissue [_m]	131 [53]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	10	9		No change	3 w	>=100, <200	>=200, <300		131	53
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.63 [1.62]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	4	6		No change	3 w	>=100, <200	>=200, <300		1,63	1,62
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	3.50 [2.25]		No.5 Dumont forceps		Systemic	Lipopolysaccharide	Intraperitoneal	0.2 mg	4	6		No change	3 w	>=100, <200	>=200, <300		3,5	2,25
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.63 [1.89]		No.5 Dumont forceps		Systemic	Acetylsalicylic acid	Subcutaneous	1.19 mg	10	9		No change	3 w	>=100, <200	>=200, <300		1,63	1,89
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	51.7 [52.6]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	10	9		No change	3 w	>=100, <200	>=200, <300		51,7	52,6
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.61 [1.62]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		No change	3 w	>=100, <200	>=200, <300		1,61	1,62
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	44.5 [52.6]		No.5 Dumont forceps		Systemic	Acetylsalicylic acid	Subcutaneous	1.19 mg	10	9		No change	3 w	>=100, <200	>=200, <300		44,5	52,6
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	55.4 [57.7]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	6	6		No change	3 w	>=100, <200	>=200, <300		55,4	57,7
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.77 [1.89]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	10	9		No change	3 w	>=100, <200	>=200, <300		1,77	1,89
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	No effect	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	3.25 [2.25]		No.5 Dumont forceps		Systemic	Steroid	Subcutaneous	2.38 mg	6	6		No change	3 w	>=100, <200	>=200, <300		3,25	2,25
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Negative	Functional	Physiology	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Survival	4 of 8 died			No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	4	6		Decrease	3 w	>=100, <200	>=200, <300			
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Negative	Functional	Physiology	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Survival	1 of 5 died			No.5 Dumont forceps		Systemic	Lipopolysaccharide	Intraperitoneal	0.2 mg	4	6		Decrease	3 w	>=100, <200	>=200, <300			
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Negative	Functional	Physiology	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Survival	2 of 8 died			No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		Decrease	3 w	>=100, <200	>=200, <300			
8115048	8115048	Open PDF	Sharma	Sharma HS, Olsson Y, Nyberg F, Dey PK.	1993	Neuroscience	Positive	Non-functional	Molecular changes	Rat	Wistar	Adult	Not defined		Thoracic	Partial transection	Neurotransmitter content	photometric measurement of serotonin content in spinal cord and serum		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	10 mg/kg	n/a	n/a		Decrease						
8115048	8115048	Open PDF	Sharma	Sharma HS, Olsson Y, Nyberg F, Dey PK.	1993	Neuroscience	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Not defined		Thoracic	Partial transection	Cyst volume	edema		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	10 mg/kg	n/a	n/a		Decrease						
8115048	8115048	Open PDF	Sharma	Sharma HS, Olsson Y, Nyberg F, Dey PK.	1993	Neuroscience	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Not defined		Thoracic	Partial transection	Toxicity	microvascular permeability		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	10 mg/kg	n/a	n/a		Decrease						
8442406	8442406	Open PDF	Sharma	Sharma HS, Olsson Y, Cerv_s-Navarro J.	1993	Acta Neuropathol	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	200-300 g	Thoracic	Partial transection	Lesion volume	sponginess of tissue		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	1,5 mg/kg	5	5		Decrease		>=200, <300	>=300, <400			
8442406	8442406	Open PDF	Sharma	Sharma HS, Olsson Y, Cerv_s-Navarro J.	1993	Acta Neuropathol	Positive	Non-functional	Neuronal regeneration	Rat	SD	Adult	Male	200-300 g	Thoracic	Partial transection	Myelination	immunostaining for MBP (myelin basic protein)		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	10 mg/kg	5	5		Increase		>=200, <300	>=300, <400			
8442406	8442406	Open PDF	Sharma	Sharma HS, Olsson Y, Cerv_s-Navarro J.	1993	Acta Neuropathol	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	200-300 g	Thoracic	Partial transection	Lesion volume	sponginess of tissue		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	10 mg/kg	5	5		Decrease		>=200, <300	>=300, <400			
8442406	8442406	Open PDF	Sharma	Sharma HS, Olsson Y, Cerv_s-Navarro J.	1993	Acta Neuropathol	Positive	Non-functional	Neuroprotection	Rat	SD	Adult	Male	200-300 g	Thoracic	Partial transection	Axonal damage	number of neurons with cytological changes		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	10 mg/kg	5	5		Decrease		>=200, <300	>=300, <400			
8442406	8442406	Open PDF	Sharma	Sharma HS, Olsson Y, Cerv_s-Navarro J.	1993	Acta Neuropathol	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	200-300 g	Thoracic	Partial transection	Cyst volume	spinal cord edema		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	10 mg/kg	5	5		Decrease		>=200, <300	>=300, <400			
8442406	8442406	Open PDF	Sharma	Sharma HS, Olsson Y, Cerv_s-Navarro J.	1993	Acta Neuropathol	Positive	Non-functional	Neuronal regeneration	Rat	SD	Adult	Male	200-300 g	Thoracic	Partial transection	Myelination	immunostaining for MBP (myelin basic protein)		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	1,5 mg/kg	5	5		Increase		>=200, <300	>=300, <400			
8442406	8442406	Open PDF	Sharma	Sharma HS, Olsson Y, Cerv_s-Navarro J.	1993	Acta Neuropathol	Positive	Non-functional	Neuroprotection	Rat	SD	Adult	Male	200-300 g	Thoracic	Partial transection	Axonal damage	number of neurons with cytological changes		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	1,5 mg/kg	5	5		Decrease		>=200, <300	>=300, <400			
8450974	8450974	Open PDF	Winkler	Winkler T, Sharma HS, St_lberg E, Olsson Y.	1993	Neuroscience	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	350-400 g	Thoracic	Partial transection	Cyst volume	edema		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	10 mg/kg	11	6		Decrease		>=300, <400	>=400, <500			
8450974	8450974	Open PDF	Winkler	Winkler T, Sharma HS, St_lberg E, Olsson Y.	1993	Neuroscience	Positive	Functional	Electrophysiology	Rat	SD	Adult	Male	350-400 g	Thoracic	Partial transection	Spinal cord evoked potentials	recording intraspinally, excitation in leg muscles, amplitude compared		Right dorsal horn, 2 mm deep			Systemic	Indomethacin	Intraperitoneal	10 mg/kg	11	6		Increase	0;1;2;3;4;5 h	>=300, <400	>=400, <500			
8730788	8730788		Stutzmann	Stutzmann JM, Pratt J, Boraud T, Gross C.	1996	Neuroreport	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Male	280  g	Thoracic	Compression	Cyst volume	hemorrhage within the sub-dural space			Fogarty balloon catheter	2.5 bars	Systemic	Riluzole	Intravenous	2 mg/kg	10	10		Decrease		>=200, <300	>=200, <300			
8730788	8730788		Stutzmann	Stutzmann JM, Pratt J, Boraud T, Gross C.	1996	Neuroreport	Positive	Functional	Locomotor test	Rat	Wistar	Adult	Male	280  g	Thoracic	Compression	Open field	use of paws to sit upright			Fogarty balloon catheter	2.5 bars	Systemic	Riluzole	Intravenous	2 mg/kg	10	10		Increase		>=200, <300	>=200, <300			
8730788	8730788		Stutzmann	Stutzmann JM, Pratt J, Boraud T, Gross C.	1996	Neuroreport	Positive	Functional	Electrophysiology	Rat	Wistar	Adult	Male	280  g	Thoracic	Compression	Somatosensory evoked potentials	somatosensory evoked potentials (SSEP) amplitude, duration and latency			Fogarty balloon catheter	2.5 bars	Systemic	Riluzole	Intravenous	2 mg/kg	10	10		Increase		>=200, <300	>=200, <300			
8730788	8730788		Stutzmann	Stutzmann JM, Pratt J, Boraud T, Gross C.	1996	Neuroreport	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Male	280 g	Thoracic	Compression	Lesion volume	necrosis of (grey and) white matter			Fogarty balloon catheter	2.5 bars	Systemic	Riluzole	Intravenous	2 mg/kg	10	10		Decrease		>=200, <300	>=200, <300			
9048312	9048312	Open PDF	Farooque	Farooque M, Hillered L, Holtz A, Olsson Y.	1997	J Neurotrauma	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	360 g	Thoracic	Compression	Toxicity	lactate levels (microdialysis)				Severe cord	Systemic	Hypothermia		30-31_C	6	6		No change		>=300, <400	>=300, <400			
9326288	9326288	Open PDF	Springer	Springer JE, Azbill RD, Kennedy SE, George J, Geddes JW.	1997	J Neurochem	Positive	Non-functional	Molecular changes	Rat	Not defined	Not defined	Not defined		Thoracic	Contusion	Cytoskeletal integrity	MAP2 levels increase after lesion			NYU impactor	25 mm	Systemic	Riluzole	Intraperitoneal	8 mg/kg	6	6		Increase	1 d					
9631482	9631482	Open PDF	Yamamoto	Yamamoto K, Ishikawa T, Sakabe T, Taguchi T, Kawai S, Marsala M.	1998	Neuroreport	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	350-375 g	Cervical	Compression	Toxicity	CSF glutamate levels (microdialysis)			Balloon	Epidural	Systemic	Hypothermia		33_C	5	5		Decrease		>=300, <400	>=300, <400			
9872457	9872457	Open PDF	Resnick	Resnick DK, Graham SH, Dixon CE, Marion DW.	1998	J Neurotrauma	Positive	Functional	Locomotor test	Rat	Long-Evans	Adult	Male	275-340 g	Thoracic	Contusion	BBB				NYU impactor	25 gxcm	Systemic	SC58125	Oral	3 mg/kg	8	8		Increase		>=200, <300	>=300, <400	28	11	9
9872457	9872457	Open PDF	Resnick	Resnick DK, Graham SH, Dixon CE, Marion DW.	1998	J Neurotrauma	Positive	Functional	Locomotor test	Rat	Long-Evans	Adult	Male	275-340 g	Thoracic	Contusion	BBB				NYU impactor	12.5 gxcm	Systemic	SC58125	Oral	3 mg/kg	8	8		Increase		>=200, <300	>=300, <400	28	16	15
9872457	9872457	Open PDF	Resnick	Resnick DK, Graham SH, Dixon CE, Marion DW.	1998	J Neurotrauma	No effect	Non-functional	Inflammation	Rat	Long-Evans	Adult	Male	275-340 g	Thoracic	Contusion	Pro-inflammatory Cytokine	COX2 expression			NYU impactor	12.5 or 25 g x cm	Systemic	SC58125	Oral	3 mg/kg	8	8		Increase	2d	>=200, <300	>=300, <400			
